German,English
Teil,Part
Geschichte,Story
suchen,seek
nur,only
Polizei,police
Gedanke,Thought
helfen,help
Anfrage,Inquiry
Art,Type
Monat,Month
Bruder,Brother
lassen,let
Weil,Because
zu setzen,to set
NEIN,NO
Leine,leash
ihnen,them
Stadt,City
jede,every
sprechen,speak
kommen,come
sollen,should
Baby,baby
lange Zeit,long time
Std.,hours
Wille,will
während,while
Wiedersehen,Reunion
beliebig,any
Quadrat,square
sprechen,speak
verstanden,understood
wusste,knew
war,was
Warnung,warning
hier ist,here is
könnte,could
Fall,case
geben,give
Typ,type
ihre,her
gegeben,given
Zug,Train
Körper,Body
Ort,Location
Augen,Eyes
Weg,Away
Hören,Hear
wessen,whose
finden,find
Erste,First
verloren,lost
Hand,hand
Erste,First
Seite,Page
Leistung,Performance
alt,old
Sei,Be
Hier,Here
Morgen,Morning
so viel,so much
Kind,child
Punkt,Point
kam,came
nach,after
Entschuldigung,Excuse me
kommen,come
vor,before
in Richtung,towards
Minuten,minutes
Anfrage,Inquiry
Schlafzimmer,bedroom
platziert,placed
Schön,Nice
Gesetz,Law
möchte,want
Heute,Today
Ehemann,Husband
Ursache,Caused
Endlich,Finally
Hoffnung,Hope
Wasser,Water
Warten,Wait
links,left
neu,new
Arbeit,Work
Stoppen,Stop
würde sagen,would say
Erde,Earth
Konto,Account
gegeben,given
weit,far
Ende,End
glauben,believe
Schatz,Treasure
groß,large
eher,rather
werde haben,will have
Mädchen,Girl
spielen,play
Büro,Office